Название,Ссылка,Описание,Дата релиза,Жанры,Разработчик,Общая оценка,Кол-во отзывов,Цена
Terraria,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_7000_150_1,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!","16 May, 2011","Action, Adventure, Indie, RPG, Re-Logic, Re-Logic",Re-Logic,Overwhelmingly Positive,"8,824",2 900₸
STALCRAFT: X,https://store.steampowered.com/app/1818450/STALCRAFT_X/?snr=1_7_7_7000_150_1,STALCRAFT: X is the largest open-world online game in the Chernobyl Exclusion Zone. Explore the world full of mutants and anomalies alone or with friends — unforgettable emotions guaranteed.,"9 Dec, 2022","Action, Adventure, Massively Multiplayer, RPG, EXBO, EXBO",EXBO,Mostly Positive,"2,156",Free To Play
Beholder: Conductor,https://store.steampowered.com/app/2825530/Beholder_Conductor/?snr=1_7_7_7000_150_1,"A Beholder series spin-off. Become a conductor of the Determination Bringer train: monitor passengers, report incidents, and carry out important Ministry assignments — whose level of secrecy depends only on your loyalty. And remember: mission success is very important to you!","23 Apr, 2025","Adventure, Indie, Simulation, Strategy, Alawar, Alawar, Alawar",Alawar,Very Positive,"1,023",3 800₸
Wuthering Waves,https://store.steampowered.com/app/3513350/Wuthering_Waves/?snr=1_7_7_7000_150_1,"Wuthering Waves is a story-rich open-world action RPG with a high degree of freedom. You wake from your slumber as Rover, joined by a vibrant cast of Resonators on a journey to reclaim your lost memories and change the world.","28 Apr, 2025","Action, Adventure, RPG, Free To Play, KURO GAMES, KURO GAMES",KURO GAMES,Very Positive,"7,329",Free To Play
BeamNG.drive,https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_7000_150_1,A dynamic soft-body physics vehicle simulator capable of doing just about anything.,"29 May, 2015","Racing, Simulation, Early Access, BeamNG, BeamNG",BeamNG,Overwhelmingly Positive,"5,429",4 999₸
Sunkenland,https://store.steampowered.com/app/2080690/Sunkenland/?snr=1_7_7_7000_150_1,"Get ready for a Waterworld-themed survival game with modular base building, sunken city scavenging, crafting, base defense, and invasions of NPC clans for resources and territory. Ready for the water apocalypse?","25 Aug, 2023","Action, Indie, Early Access, Vector3 Studio, Vector3 Studio",Vector3 Studio,Mostly Positive,174,4 160₸
Raft,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_7000_150_1,"Raft™ throws you and your friends into an epic oceanic adventure! Alone or together, players battle to survive a perilous voyage across a vast sea! Gather debris, scavenge reefs and build your own floating home, but be wary of the man-eating sharks!","20 Jun, 2022","Adventure, Indie, Simulation, Redbeet Interactive, Axolot Games, Axolot Games",Redbeet Interactive,Very Positive,"2,293",2 650₸
ASKA,https://store.steampowered.com/app/1898300/ASKA/?snr=1_7_7_7000_150_1,Lay claim to unspoiled lands and pave the way for a fierce Viking tribe. Craft the ultimate settlement solo or together with up to x3 friends. Trust in the Gods and the power of the Eye of Odin and summon intelligent NPC villagers to provide camaraderie and relief from the toils of survival.,"20 Jun, 2024","Adventure, Simulation, Strategy, Early Access, Sand Sailor Studio, Thunderful Publishing, ASKA",Sand Sailor Studio,Very Positive,227,4 160₸
Tiny Bunny,https://store.steampowered.com/app/1421250/Tiny_Bunny/?snr=1_7_7_7000_150_1,"Tiny Bunny is a non-linear horror visual novel. Those, who have heard the voice of the forest, are beyond help.","16 Apr, 2021","Adventure, Indie, Early Access, Saikono, Sokarev, Saikono",Saikono,Very Positive,123,399₸
DEATH STRANDING DIRECTOR'S CUT,https://store.steampowered.com/app/1850570/DEATH_STRANDING_DIRECTORS_CUT/?snr=1_7_7_7000_150_1,"From legendary game creator Hideo Kojima comes a genre-defying experience, now expanded in this definitive DIRECTOR’S CUT. As Sam Bridges, your mission is to deliver hope to humanity by connecting the last survivors of a decimated America. Can you reunite the shattered world, one step at a time?","30 Mar, 2022","Action, Adventure, KOJIMA PRODUCTIONS, 505 Games, 505 Games Official",KOJIMA PRODUCTIONS,Very Positive,936,7 750₸
